url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,8,8
/yinlinchen/amplify-preview-actions/blob/master/action.yml,3,2
/yinlinchen/amplify-preview-actions/tree/master,2,2
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,2,1
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,1,1
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,1,1
/yinlinchen/amplify-preview-actions/blob/master/examples.md,1,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/close_inactivate_issues.yml,1,1
/yinlinchen/amplify-preview-actions/forks,1,1
/yinlinchen/amplify-preview-actions/stargazers,1,1
