time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,12,6,0,0
2026-04-18 00:00:00+00:00,20,8,0,0
2026-04-19 00:00:00+00:00,21,10,0,0
2026-04-20 00:00:00+00:00,48,18,0,0
2026-04-21 00:00:00+00:00,36,18,1,1
2026-04-22 00:00:00+00:00,66,25,0,0
2026-04-23 00:00:00+00:00,45,20,0,0
2026-04-24 00:00:00+00:00,81,28,15,1
2026-04-25 00:00:00+00:00,37,14,0,0
2026-04-26 00:00:00+00:00,8,4,0,0
2026-04-27 00:00:00+00:00,30,8,0,0
2026-04-28 00:00:00+00:00,12,3,0,0
2026-04-29 00:00:00+00:00,25,6,0,0
2026-04-30 00:00:00+00:00,22,7,0,0
