time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-21 00:00:00+00:00,1,1,0,0
2023-02-22 00:00:00+00:00,0,0,12,2
2023-02-23 00:00:00+00:00,0,0,1,1
2023-02-24 00:00:00+00:00,5,4,18,3
2023-02-25 00:00:00+00:00,4,2,27,2
2023-02-26 00:00:00+00:00,1,1,1,1
2023-02-27 00:00:00+00:00,1,1,1,1
2023-02-28 00:00:00+00:00,0,0,2,1
2023-03-01 00:00:00+00:00,1,1,12,2
2023-03-02 00:00:00+00:00,4,3,3,2
2023-03-03 00:00:00+00:00,0,0,9,1
2023-03-04 00:00:00+00:00,0,0,2,1
2023-03-06 00:00:00+00:00,0,0,1,1
2023-03-07 00:00:00+00:00,8,7,61,2
2023-03-08 00:00:00+00:00,0,0,16,4
